,mask,rho,tau,lambda,image,frob,psnr,ssim
0,irregular,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,1,23.9,26.62,0.92
1,irregular,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,2,17.2,29.48,0.91
2,irregular,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,3,15.06,30.63,0.91
3,irregular,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,4,14.86,30.75,0.91
4,irregular,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,5,15.37,30.45,0.91
5,irregular,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,1,11.47,33.0,0.97
6,irregular,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,2,10.93,33.42,0.96
7,irregular,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,3,11.31,33.12,0.96
8,irregular,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,4,9.38,34.75,0.96
9,irregular,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,5,9.12,34.99,0.97
10,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,1,8.18,35.93,0.98
11,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,2,11.4,33.05,0.96
12,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,3,20.09,28.13,0.95
13,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,4,10.49,33.77,0.96
14,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,5,12.32,32.37,0.96
15,irregular,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,1,10.82,33.5,0.98
16,irregular,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,2,18.83,28.69,0.95
17,irregular,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,3,26.99,25.56,0.93
18,irregular,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,4,16.55,29.81,0.95
19,irregular,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,5,16.49,29.84,0.96
20,irregular,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,1,14.01,31.26,0.98
21,irregular,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,2,20.55,27.93,0.95
22,irregular,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,3,33.97,23.56,0.92
23,irregular,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,4,21.12,27.69,0.94
24,irregular,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,5,19.84,28.23,0.95
25,irregular,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,1,43.87,21.34,0.94
26,irregular,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,2,58.14,18.9,0.9
27,irregular,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,3,86.22,15.47,0.87
28,irregular,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,4,74.53,16.74,0.88
29,irregular,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,5,63.05,18.19,0.9
30,irregular,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,1,28.86,24.98,0.96
31,irregular,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,2,47.97,20.57,0.92
32,irregular,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,3,60.83,18.5,0.89
33,irregular,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,4,50.77,20.07,0.9
34,irregular,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,5,40.24,22.09,0.93
35,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,1,9.13,34.98,0.98
36,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,2,10.11,34.09,0.97
37,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,3,25.69,25.99,0.94
38,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,4,13.8,31.39,0.96
39,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,5,11.85,32.71,0.96
40,irregular,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,1,22.52,27.13,0.93
41,irregular,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,2,16.85,29.65,0.92
42,irregular,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,3,13.04,31.88,0.91
43,irregular,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,4,13.29,31.72,0.92
44,irregular,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,5,12.64,32.15,0.93
45,irregular,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,1,33.94,23.57,0.91
46,irregular,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,2,25.68,25.99,0.9
47,irregular,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,3,22.21,27.26,0.88
48,irregular,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,4,21.25,27.64,0.9
49,irregular,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,5,21.83,27.4,0.9
50,irregular,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,1,14.65,30.87,0.96
51,irregular,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,2,12.17,32.48,0.95
52,irregular,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,3,9.96,34.22,0.95
53,irregular,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,4,10.46,33.79,0.95
54,irregular,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,5,10.07,34.12,0.96
55,irregular,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,1,11.57,32.92,0.98
56,irregular,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,2,11.0,33.35,0.97
57,irregular,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,3,9.97,34.21,0.97
58,irregular,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,4,9.45,34.67,0.97
59,irregular,0.0003942568208707973,1.2066060923037498e-05,6.840257485081117e-05,5,9.66,34.48,0.97
60,irregular,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,1,8.43,35.67,0.98
61,irregular,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,2,14.35,31.05,0.96
62,irregular,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,3,23.21,26.87,0.95
63,irregular,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,4,13.23,31.76,0.96
64,irregular,0.0003942568208707973,1.2066060923037498e-05,0.00016220806740076686,5,13.48,31.59,0.96
65,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,1,66.08,17.78,0.93
66,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,2,76.41,16.52,0.89
67,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,3,98.33,14.33,0.87
68,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,4,88.65,15.23,0.88
69,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0003846559458803716,5,78.68,16.27,0.89
70,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,1,210.61,7.72,0.83
71,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,2,214.42,7.56,0.83
72,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,3,253.38,6.11,0.82
73,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,4,245.82,6.37,0.82
74,irregular,0.0003942568208707973,1.2066060923037498e-05,0.0009121629957871259,5,231.26,6.9,0.82
