,mask,rho,tau,lambda,image,frob,psnr,ssim
0,random,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,1,31.08,24.33,0.6
1,random,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,2,22.97,26.96,0.66
2,random,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,3,24.83,26.28,0.58
3,random,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,4,23.39,26.81,0.64
4,random,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,5,25.87,25.93,0.63
5,random,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,1,14.37,31.04,0.87
6,random,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,2,14.16,31.16,0.85
7,random,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,3,15.22,30.54,0.82
8,random,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,4,14.51,30.95,0.84
9,random,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,5,12.43,32.29,0.88
10,random,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,1,10.16,34.05,0.95
11,random,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,2,11.55,32.93,0.91
12,random,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,3,12.75,32.08,0.92
13,random,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,4,12.27,32.41,0.9
14,random,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,5,9.2,34.91,0.94
15,random,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,1,9.76,34.4,0.96
16,random,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,2,11.18,33.22,0.92
17,random,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,3,12.46,32.28,0.93
18,random,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,4,11.95,32.64,0.91
19,random,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,5,8.83,35.27,0.94
20,random,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,1,9.97,34.21,0.96
21,random,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,2,11.18,33.22,0.92
22,random,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,3,12.17,32.48,0.93
23,random,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,4,11.9,32.68,0.91
24,random,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,5,8.75,35.34,0.94
25,random,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,1,10.13,34.07,0.96
26,random,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,2,11.38,33.06,0.92
27,random,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,3,12.51,32.24,0.92
