,mask,rho,tau,lambda,image,frob,psnr,ssim
0,text,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,1,14.15,31.17,0.9
1,text,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,2,13.23,31.76,0.9
2,text,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,3,12.13,32.51,0.9
3,text,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,4,13.52,31.56,0.89
4,text,7.010987868219427e-05,1.2066060923037498e-05,0.0001622080674007667,5,13.59,31.52,0.9
5,text,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,1,5.33,39.65,0.98
6,text,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,2,5.3,39.7,0.98
7,text,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,3,6.02,38.6,0.97
8,text,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,4,5.32,39.68,0.98
9,text,0.0001662567228140841,1.2066060923037498e-05,0.0001622080674007667,5,4.58,40.96,0.98
10,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,1,3.27,43.9,0.99
11,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,2,4.5,41.12,0.99
12,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,3,5.13,39.98,0.99
13,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,4,4.61,40.91,0.99
14,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,5,3.53,43.23,0.99
15,text,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,1,3.16,44.2,0.99
16,text,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,2,4.42,41.28,0.99
17,text,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,3,5.07,40.08,0.99
18,text,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,4,4.55,41.02,0.99
19,text,0.0009349302582907659,1.2066060923037498e-05,0.0001622080674007667,5,3.45,43.44,0.99
20,text,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,1,3.18,44.14,0.99
21,text,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,2,4.41,41.29,0.99
22,text,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,3,5.06,40.1,0.99
23,text,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,4,4.51,41.11,0.99
24,text,0.002217069031138182,1.2066060923037498e-05,0.0001622080674007667,5,3.44,43.46,0.99
25,text,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,1,3.28,43.88,0.99
26,text,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,2,4.53,41.06,0.99
27,text,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,3,5.22,39.84,0.99
28,text,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,4,4.63,40.88,0.99
29,text,0.0003942568208707973,2.1456827699712822e-06,0.0001622080674007667,5,3.57,43.14,0.99
30,text,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,1,3.24,43.97,0.99
31,text,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,2,4.49,41.14,0.99
32,text,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,3,5.16,39.94,0.99
33,text,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,4,4.6,40.93,0.99
34,text,0.0003942568208707973,5.088215701401165e-06,0.0001622080674007667,5,3.56,43.15,0.99
35,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,1,3.28,43.87,0.99
36,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,2,4.47,41.18,0.99
37,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,3,5.13,39.98,0.99
38,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,4,4.56,41.01,0.99
39,text,0.0003942568208707973,1.2066060923037498e-05,0.0001622080674007667,5,3.53,43.22,0.99
40,text,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,1,10.67,33.62,0.93
41,text,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,2,10.88,33.45,0.92
42,text,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,3,11.36,33.07,0.9
43,text,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,4,11.01,33.35,0.91
44,text,0.0003942568208707973,2.8613139603802726e-05,0.0001622080674007667,5,10.53,33.74,0.92
45,text,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,1,22.87,27.0,0.86
46,text,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,2,22.88,27.0,0.85
47,text,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,3,23.87,26.63,0.82
48,text,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,4,23.47,26.77,0.83
49,text,0.0003942568208707973,6.785244689288395e-05,0.0001622080674007667,5,22.86,27.0,0.84
50,text,0.0003942568208707973,1.2066060923037498e-05,2.884512664009895e-05,1,5.9,38.77,0.97
